SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
CSCI,111,Intro Algorithmic Problem Solv,"TSE, C",136,0,9,7,2,5,16,13,8,0,0,15,57,2.301
CSCI,111,Intro Algorithmic Problem Solv,"CHYN, X",163,2,12,4,8,15,9,9,13,3,3,21,62,2.235
CSCI,111,Intro Algorithmic Problem Solv,"CHYN, X",236,1,7,7,11,21,12,22,10,15,19,29,82,1.979
CSCI,211,Object-Oriented Program in C++,"WAXMAN, J",143,13,8,9,3,16,17,9,16,0,8,21,22,2.348
CSCI,211,Object-Oriented Program in C++,"WAXMAN, J",211,18,7,6,10,17,30,8,28,0,18,33,36,2.169
CSCI,211,Object-Oriented Program in C++,"ALAYEV, Y",12,0,0,0,1,0,0,1,0,2,3,1,4,1.5
CSCI,212,Object-Oriented Prog in Java,"LORD, K",150,11,11,10,11,16,6,11,8,6,9,11,40,2.6
CSCI,212,Object-Oriented Prog in Java,"STEINBERG, O",85,1,7,8,10,1,4,5,4,1,3,11,29,2.411
CSCI,220,Discrete Structures,"KAHROBAEI, D",35,4,10,6,1,3,1,0,0,2,0,0,7,3.578
CSCI,220,Discrete Structures,"KAHROBAEI, D",35,4,11,3,4,4,0,1,1,0,0,1,6,3.469
CSCI,220,Discrete Structures,"TAO, X",30,0,2,5,2,4,7,2,2,2,1,0,3,2.852
CSCI,220,Discrete Structures,"KONG, T",22,3,3,1,2,1,1,0,1,0,4,3,2,2.421
CSCI,220,Discrete Structures,"GRYAK, J",35,1,1,1,0,4,6,11,3,0,0,3,5,2.373
CSCI,220,Discrete Structures,"GRYAK, J",27,2,1,0,0,1,5,2,4,0,0,5,7,2.055
CSCI,220,Discrete Structures,"KONG, T",23,0,1,1,0,0,0,4,3,0,0,3,10,1.908
CSCI,240,Computer Org & Assembly Lang,"YEH, J",40,3,7,9,1,2,3,4,2,1,0,4,4,2.933
CSCI,240,Computer Org & Assembly Lang,"YEH, J",40,3,1,5,5,7,1,3,3,3,0,3,6,2.726
